hi	occupation	मिलारेपा	कवि
tel	sport	ఫీల్డింగ్	క్రికెట్
tel	sibling	రోషిణి	జ్యోతిక
ben	parent_organization	উরুগুয়েয়ীয় ফুটবল অ্যাসোসিয়েশন	কনমেবল
ben	mother	অভিমন্যু	সুভদ্রা
tel	father	అనన్య బిర్లా	కుమార్ మంగళం బిర్లా
tel	place_of_birth	అయ్యంకి వెంకటరమణయ్య	కొంకుదురు
hi	mother	राम	कौशल्या
ben	winner	ম্যান বুকার পুরস্কার	স্ট্যানলি মিডলটন
hi	student_of	जुलूस जर्मि	प्लेटो
ben	employer	রবার্ট বুনসেন	হাইডেলবার্গ বিশ্ববিদ্যালয়
tel	spouse	గౌతముడు	అహల్య
ben	mother	আরাফাত রহমান কোকো	খালেদা জিয়া
ben	founded_by	বাথ পার্টি	মিশেল আফলাক
tel	child	బ్రహ్మ	చిత్రగుప్తుడు
tel	mother	నకులుడు	మాద్రి
tel	capital	నాగాలాండ్	కోహిమా
tel	spouse	విజయకుమార్	మంజుల
tel	child	భీమసేనుడు	ఘటోత్కచుడు
tel	child	బ్రహ్మ	పులస్త్యుడు
ben	father	প্রমিথিউস	ইয়াপেতুস
tel	director	దేవి	కోడి రామకృష్ణ
tel	spouse	అనసూయ	అత్రి
hi	director	कुछ कुछ होता है	करण जौहर
tel	child	చిత్రాంగద	బభ్రువాహనుడు
tel	director	సొగసు చూడతరమా	గుణశేఖర్
ben	child	ডোনাল্ড ট্রাম্প	টিফানি ট্রাম্প
ben	tributary	গোদাবরী নদী	ইন্দ্রাবতী নদী
ben	subsidiary	ভারতীয় মহাকাশ গবেষণা সংস্থা	সতীশ ধবন মহাকাশ কেন্দ্র
hi	occupation	लिओनार्ड कोहेन	गायक
tel	father	సంఘమిత్ర	అశోకుడు
ben	father	গুরু অর্জন	গুরু রামদাস
tel	sibling	దుస్సల	దుశ్శాసనుడు
tel	father	పూరుడు	యయాతి
ben	parent_organization	সেনেগালীয় ফুটবল ফেডারেশন	আফ্রিকান ফুটবল কনফেডারেশন
ben	capital	মুঘল সাম্রাজ্য	লাহোর
ben	mother	তৃতীয় মুহাম্মদ	সাফিয়া সুলতান
tel	original_language_of_film_or_TV_show	రౌడీగారి పెళ్ళాం	తెలుగు
ben	subsidiary	আইবিএম	রেড হ্যাট
ben	subsidiary	এশিয়ান ফুটবল কনফেডারেশন	গুয়াম ফুটবল অ্যাসোসিয়েশন
tel	mother	ఆకాశ్ అంబానీ	నీతా అంబానీ
hi	employer	प्रदीप कुमार सिन्हा	भारतीय प्रशासनिक सेवा
ben	original_language_of_film_or_TV_show	আন্ধাধুন	হিন্দি ভাষা
hi	sport	विजय अमृतराज	टेनिस
ben	director	আলাইপায়ুদে	মণি রত্নম
hi	participant	वियतनाम युद्ध	लाओस
tel	director	లేడీస్ టైలర్	వంశీ
tel	award_received	మధురాంతకం రాజారాం	కేంద్ర సాహిత్య అకాడమీ పురస్కారం
ben	director	খারিজ	মৃণাল সেন
